name,club,injuries
Ederson,Manchester City,"[('20/21', 'Virus Infection', 'Dec 27, 2020', 'Jan 12, 2021', '16', '3'), ('19/20', 'Ill', 'Dec 30, 2019', 'Jan 7, 2020', '8', '3'), ('19/20', 'Ill', 'Dec 8, 2019', 'Dec 14, 2019', '6', '1'), ('19/20', 'Muscular problems', 'Nov 6, 2019', 'Nov 22, 2019', '16', '2'), ('17/18', 'Facial Injury', 'Sep 10, 2017', 'Sep 12, 2017', '2', 0), ('16/17', 'Meniscal Injury', 'Jul 11, 2016', 'Aug 9, 2016', '29', '1')]"
Stefan Ortega,Manchester City,"[('21/22', 'Corona virus', 'Dec 17, 2021', 'Dec 31, 2021', '14', '1'), ('19/20', 'Influenza', 'Feb 13, 2020', 'Feb 20, 2020', '7', '1'), ('18/19', 'Torn Collateral Ligament', 'Oct 23, 2018', 'Nov 19, 2018', '27', '4'), ('11/12', 'Eye Injury', 'Mar 13, 2012', 'Mar 17, 2012', '4', '1'), ('11/12', 'Bruised Hip', 'Nov 30, 2011', 'Dec 3, 2011', '3', '2'), ('10/11', 'Fractured Rib', 'Jul 18, 2010', 'Sep 9, 2010', '53', '3')]"
Scott Carson,Manchester City,"[('20/21', 'Virus Infection', 'Jan 6, 2021', 'Mar 14, 2021', '67', '20'), ('12/13', 'Unknown Injury', 'Mar 16, 2013', 'Apr 1, 2013', '16', '1'), ('12/13', 'Unknown Injury', 'Feb 2, 2013', 'Feb 10, 2013', '8', '2')]"
Rúben Dias,Manchester City,"[('21/22', 'Knock', 'Mar 3, 2022', 'Apr 11, 2022', '39', '7'), ('20/21', 'Knock', 'Feb 8, 2021', 'Feb 11, 2021', '3', '1'), ('17/18', 'Ankle Injury', 'Mar 19, 2018', 'Mar 29, 2018', '10', 0), ('17/18', 'Appendectomy', 'Nov 16, 2017', 'Dec 14, 2017', '28', '7')]"
Aymeric Laporte,Manchester City,"[('22/23', 'Knee Surgery', 'Jun 30, 2022', 'Oct 3, 2022', '95', '12'), ('20/21', 'Strain', 'Dec 28, 2020', 'Jan 18, 2021', '21', '5'), ('20/21', 'Knock', 'Oct 15, 2020', 'Oct 22, 2020', '7', '2'), ('20/21', 'Corona virus', 'Sep 7, 2020', 'Sep 28, 2020', '21', '3'), ('19/20', 'Hamstring Injury', 'Feb 27, 2020', 'Jun 15, 2020', '109', '3'), ('19/20', 'Knock', 'Jan 23, 2020', 'Feb 20, 2020', '28', '4'), ('19/20', 'Knee Injury', 'Aug 29, 2019', 'Jan 20, 2020', '144', '31'), ('18/19', 'Muscle Injury', 'Feb 25, 2019', 'Mar 11, 2019', '14', '3'), ('16/17', 'Groin Injury', 'Feb 20, 2017', 'Mar 6, 2017', '14', '4'), ('16/17', 'Muscular problems', 'Nov 3, 2016', 'Nov 17, 2016', '14', '2'), ('16/17', 'Ankle Injury', 'Oct 24, 2016', 'Oct 31, 2016', '7', '1'), ('15/16', 'Fibula Fracture', 'Mar 24, 2016', 'Jun 30, 2016', '98', '10'), ('15/16', 'Knee Injury', 'Nov 5, 2015', 'Nov 19, 2015', '14', '2'), ('14/15', 'Muscular problems', 'Sep 18, 2014', 'Sep 22, 2014', '4', '1')]"
John Stones,Manchester City,"[('22/23', 'Hamstring Injury', 'Sep 26, 2022', 'Oct 20, 2022', '24', '6'), ('20/21', 'Rest ', 'Jan 22, 2021', 'Jan 24, 2021', '2', '1'), ('20/21', 'Knock', 'Sep 22, 2020', 'Oct 2, 2020', '10', '3'), ('20/21', 'Ankle Injury', 'Jun 19, 2020', 'Jun 27, 2020', '8', '2'), ('19/20', 'Foot Injury', 'Jan 19, 2020', 'Jan 25, 2020', '6', '1'), ('19/20', 'Knock', 'Dec 8, 2019', 'Jan 3, 2020', '26', '7'), ('19/20', 'Muscle Injury', 'Sep 17, 2019', 'Oct 22, 2019', '35', '8'), ('18/19', 'Muscle Injury', 'Aug 16, 2019', 'Sep 13, 2019', '28', '3'), ('18/19', 'Groin Injury', 'Mar 5, 2019', 'Mar 29, 2019', '24', '3'), ('18/19', 'Groin Strain', 'Feb 17, 2019', 'Mar 1, 2019', '12', '3'), ('17/18', 'Minor Knock', 'Jun 28, 2018', 'Jul 2, 2018', '4', 0), ('17/18', 'Tear in the abductor muscle', 'Apr 5, 2018', 'May 3, 2018', '28', '5'), ('17/18', 'Hamstring Injury', 'Nov 20, 2017', 'Jan 1, 2018', '42', '12'), ('15/16', 'Knee Injury', 'Sep 21, 2015', 'Oct 15, 2015', '24', '3'), ('14/15', 'Ankle Injury', 'Oct 6, 2014', 'Dec 11, 2014', '66', '12')]"
Nathan Aké,Manchester City,"[('20/21', 'Hamstring Injury', 'Dec 27, 2020', 'Mar 14, 2021', '77', '21'), ('20/21', 'Hamstring Injury', 'Nov 11, 2020', 'Nov 30, 2020', '19', '3'), ('20/21', 'Groin Strain', 'Oct 21, 2020', 'Oct 30, 2020', '9', '3'), ('20/21', 'Groin Injury', 'Jul 13, 2020', 'Jul 25, 2020', '12', '2'), ('19/20', 'Head Injury', 'Feb 10, 2020', 'Feb 28, 2020', '18', '1'), ('19/20', 'Hamstring Injury', 'Dec 8, 2019', 'Jan 11, 2020', '34', '6'), ('18/19', 'Hamstring Injury', 'Dec 31, 2018', 'Jan 1, 2019', '1', 0), ('18/19', 'Toe Injury', 'Aug 4, 2018', 'Aug 10, 2018', '6', 0), ('17/18', 'Ankle Injury', 'Aug 27, 2017', 'Sep 8, 2017', '12', 0), ('14/15', 'Hamstring Injury', 'Nov 14, 2014', 'Dec 19, 2014', '35', '8')]"
Manuel Akanji,Manchester City,"[('21/22', 'Minor Knock', 'Mar 28, 2022', 'Mar 31, 2022', '3', 0), ('21/22', 'Torn Muscle Fibre', 'Feb 18, 2022', 'Mar 17, 2022', '27', '5'), ('21/22', 'Calf Problems', 'Jan 23, 2022', 'Feb 1, 2022', '9', 0), ('21/22', 'Knee Surgery', 'Dec 6, 2021', 'Jan 10, 2022', '35', '5'), ('20/21', 'Torn Muscle Fibre', 'Feb 19, 2021', 'Mar 14, 2021', '23', '6'), ('20/21', 'Knee Problems', 'Dec 3, 2020', 'Dec 9, 2020', '6', '2'), ('20/21', 'Corona virus', 'Oct 7, 2020', 'Oct 21, 2020', '14', '2'), ('19/20', 'Muscular problems', 'Jun 16, 2020', 'Jun 30, 2020', '14', '3'), ('18/19', 'Hip Injury', 'Jan 1, 2019', 'Feb 20, 2019', '50', '7'), ('18/19', 'Pulled hamstring at the adductors', 'Dec 19, 2018', 'Dec 31, 2018', '12', '1'), ('18/19', 'Tear in a joint capsule', 'Nov 29, 2018', 'Dec 5, 2018', '6', '1'), ('18/19', 'Hip problems', 'Nov 11, 2018', 'Nov 19, 2018', '8', 0), ('18/19', 'Hip problems', 'Oct 10, 2018', 'Nov 1, 2018', '22', '4'), ('15/16', 'Cruciate Ligament Rupture', 'Mar 5, 2016', 'Dec 31, 2016', '301', '43'), ('15/16', 'Torn Muscle Fibre', 'Nov 22, 2015', 'Dec 31, 2015', '39', '6')]"
Sergio Gómez,Manchester City,"[('22/23', 'Pubis bone contusion', 'Jul 1, 2022', 'Aug 3, 2022', '33', '2')]"
Benjamin Mendy,Manchester City,"[('20/21', 'Muscle Injury', 'Oct 4, 2020', 'Nov 24, 2020', '51', '8'), ('20/21', 'Knock', 'Jul 3, 2020', 'Jul 10, 2020', '7', '2'), ('19/20', 'Quarantine', 'Mar 12, 2020', 'Mar 25, 2020', '13', 0), ('19/20', 'Foot Injury', 'Jan 19, 2020', 'Feb 18, 2020', '30', '4'), ('19/20', 'Knee Injury', 'Nov 5, 2019', 'Nov 17, 2019', '12', '2'), ('19/20', 'Hamstring Injury', 'Oct 2, 2019', 'Oct 18, 2019', '16', '1'), ('18/19', 'Knee Injury', 'Apr 17, 2019', 'Sep 17, 2019', '153', '13'), ('18/19', 'Meniscal Injury', 'Jan 25, 2019', 'Feb 27, 2019', '33', '9'), ('18/19', 'Knee Injury', 'Jan 24, 2019', 'Apr 3, 2019', '69', '15'), ('18/19', 'Knee Surgery', 'Nov 14, 2018', 'Jan 21, 2019', '68', '16'), ('18/19', 'Foot Injury', 'Sep 14, 2018', 'Oct 7, 2018', '23', '7'), ('18/19', 'Knock', 'Aug 6, 2018', 'Aug 11, 2018', '5', 0), ('17/18', 'Thigh Problems', 'Jun 30, 2018', 'Jul 13, 2018', '13', 0), ('17/18', 'Knock', 'May 10, 2018', 'May 15, 2018', '5', '1'), ('17/18', 'Cruciate Ligament Rupture', 'Sep 25, 2017', 'Apr 11, 2018', '198', '43')]"
